cantante,nacionalidad,fecha_nac,concierto,num_canciones,duracion,recinto,pais,continente,max_entradas,entradas_vendidas
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,30063
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Accor Arena,Francia,Europa,20000,19706
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,MetLife Stadium,Estados Unidos,América del Norte,82500,65334
Taylor Swift,Estadounidense,1989-12-13 00:00:00,The Eras Tour,45,195,National Stadium Singapore,Singapur,Asia,55000,49824
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Scotiabank Arena,Canadá,América del Norte,20000,19862
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Tokyo Dome,Japón,Asia,55000,49273
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Madison Square Garden,Estados Unidos,América del Norte,20000,17959
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Accor Arena,Francia,Europa,20000,10191
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,River Plate Stadium,Argentina,América del Sur,83000,53180
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Staples Center,Estados Unidos,América del Norte,20000,14863
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,Santiago Bernabéu,España,Europa,81000,55914
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,River Plate Stadium,Argentina,América del Sur,83000,66703
Beyonce,Estadounidense,1981-09-04 00:00:00,Formation World Tour,32,140,Movistar Arena Madrid,España,Europa,17000,16629
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Sydney Olympic Park,Australia,Oceanía,83000,52721
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Rod Laver Arena,Australia,Oceanía,15000,10561
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Allianz Arena,Alemania,Europa,75000,61523
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Camp Nou,España,Europa,99000,89138
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,Estadio Azteca,México,América del Norte,87000,57443
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Accor Arena,Francia,Europa,20000,18846
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Movistar Arena Madrid,España,Europa,17000,15527
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,AT&T Stadium,Estados Unidos,América del Norte,80000,71102
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Tokyo Dome,Japón,Asia,55000,38049
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Foro Sol,México,América del Norte,65000,58270
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,MetLife Stadium,Estados Unidos,América del Norte,82500,69573
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,AT&T Stadium,Estados Unidos,América del Norte,80000,46648
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,AT&T Stadium,Estados Unidos,América del Norte,80000,53470
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Santiago Bernabéu,España,Europa,81000,56207
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,Estadio Azteca,México,América del Norte,87000,59456
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,Arena Ciudad de México,México,América del Norte,22000,19981
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Tokyo Dome,Japón,Asia,55000,32210
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,WiZink Center,España,Europa,17000,14894
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,Movistar Arena Madrid,España,Europa,17000,15601
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,Foro Sol,México,América del Norte,65000,47511
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Santiago Bernabéu,España,Europa,81000,68762
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Olympic Stadium,Reino Unido,Europa,60000,37512
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,National Stadium Singapore,Singapur,Asia,55000,39490
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Accor Arena,Francia,Europa,20000,14786
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Madison Square Garden,Estados Unidos,América del Norte,20000,13178
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Foro Sol,México,América del Norte,65000,55945
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,83888
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Allianz Arena,Alemania,Europa,75000,50512
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Santiago Bernabéu,España,Europa,81000,77764
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Staples Center,Estados Unidos,América del Norte,20000,11812
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Foro Sol,México,América del Norte,65000,33048
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,National Stadium Singapore,Singapur,Asia,55000,31236
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Movistar Arena Madrid,España,Europa,17000,11663
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,AT&T Stadium,Estados Unidos,América del Norte,80000,54091
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Movistar Arena Madrid,España,Europa,17000,13478
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,36078
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Movistar Arena Madrid,España,Europa,17000,11986
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Accor Arena,Francia,Europa,20000,13470
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,MetLife Stadium,Estados Unidos,América del Norte,82500,44214
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Rogers Centre,Canadá,América del Norte,50000,45590
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,SoFi Stadium,Estados Unidos,América del Norte,70000,47652
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,United Center,Estados Unidos,América del Norte,21000,15206
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,River Plate Stadium,Argentina,América del Sur,83000,66811
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Movistar Arena Madrid,España,Europa,17000,13962
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,Staples Center,Estados Unidos,América del Norte,20000,12545
Beyonce,Estadounidense,1981-09-04 00:00:00,Formation World Tour,32,140,Wembley Stadium,Reino Unido,Europa,90000,55820
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,Tokyo Dome,Japón,Asia,55000,36327
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Sydney Olympic Park,Australia,Oceanía,83000,41948
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Allianz Arena,Alemania,Europa,75000,57513
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,Wembley Stadium,Reino Unido,Europa,90000,60422
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,Palau Sant Jordi,España,Europa,18000,10530
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,Tokyo Dome,Japón,Asia,55000,46127
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Scotiabank Arena,Canadá,América del Norte,20000,15193
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,Allianz Arena,Alemania,Europa,75000,67654
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,Scotiabank Arena,Canadá,América del Norte,20000,17682
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Scotiabank Arena,Canadá,América del Norte,20000,10915
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,O2 Arena,Reino Unido,Europa,20000,19349
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Tokyo Dome,Japón,Asia,55000,28779
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Tokyo Dome,Japón,Asia,55000,41506
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Movistar Arena Madrid,España,Europa,17000,16287
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,59322
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,United Center,Estados Unidos,América del Norte,21000,18401
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Smoke + Mirrors Tour,19,100,Scotiabank Arena,Canadá,América del Norte,20000,18612
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,AT&T Stadium,Estados Unidos,América del Norte,80000,44782
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,O2 Arena,Reino Unido,Europa,20000,14800
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Madison Square Garden,Estados Unidos,América del Norte,20000,11102
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,AT&T Stadium,Estados Unidos,América del Norte,80000,44594
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,50174
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,83127
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,National Stadium Singapore,Singapur,Asia,55000,43454
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Allianz Arena,Alemania,Europa,75000,62651
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,MetLife Stadium,Estados Unidos,América del Norte,82500,55647
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,SoFi Stadium,Estados Unidos,América del Norte,70000,38288
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,Scotiabank Arena,Canadá,América del Norte,20000,18466
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,Santiago Bernabéu,España,Europa,81000,52732
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Rod Laver Arena,Australia,Oceanía,15000,10674
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,Scotiabank Arena,Canadá,América del Norte,20000,10345
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Foro Sol,México,América del Norte,65000,35305
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Staples Center,Estados Unidos,América del Norte,20000,15477
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Maracanã Stadium,Brasil,América del Sur,78000,57800
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Tokyo Dome,Japón,Asia,55000,44212
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,United Center,Estados Unidos,América del Norte,21000,12299
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Olympic Stadium,Reino Unido,Europa,60000,55148
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,80642
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,United Center,Estados Unidos,América del Norte,21000,17239
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,Madison Square Garden,Estados Unidos,América del Norte,20000,18421
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Palau Sant Jordi,España,Europa,18000,10615
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,Santiago Bernabéu,España,Europa,81000,40533
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,United Center,Estados Unidos,América del Norte,21000,11840
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Palau Sant Jordi,España,Europa,18000,17975
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,AT&T Stadium,Estados Unidos,América del Norte,80000,51319
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Tokyo Dome,Japón,Asia,55000,50088
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Foro Sol,México,América del Norte,65000,36470
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,O2 Arena,Reino Unido,Europa,20000,18493
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,Staples Center,Estados Unidos,América del Norte,20000,18043
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Accor Arena,Francia,Europa,20000,11803
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,MetLife Stadium,Estados Unidos,América del Norte,82500,67655
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,SoFi Stadium,Estados Unidos,América del Norte,70000,39811
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Olympic Stadium,Reino Unido,Europa,60000,45447
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,Foro Sol,México,América del Norte,65000,59005
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Rod Laver Arena,Australia,Oceanía,15000,14900
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Olympic Stadium,Reino Unido,Europa,60000,47360
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Foro Sol,México,América del Norte,65000,61711
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,Olympic Stadium,Reino Unido,Europa,60000,35271
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,SoFi Stadium,Estados Unidos,América del Norte,70000,66185
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,AT&T Stadium,Estados Unidos,América del Norte,80000,70133
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,43410
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Arena Ciudad de México,México,América del Norte,22000,13141
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,United Center,Estados Unidos,América del Norte,21000,18833
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,68725
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Allianz Arena,Alemania,Europa,75000,44174
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Maracanã Stadium,Brasil,América del Sur,78000,61907
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Allianz Arena,Alemania,Europa,75000,70372
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Arena Corinthians,Brasil,América del Sur,49000,29209
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Scotiabank Arena,Canadá,América del Norte,20000,12637
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,O2 Arena,Reino Unido,Europa,20000,12120
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,National Stadium Singapore,Singapur,Asia,55000,33464
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,O2 Arena,Reino Unido,Europa,20000,18698
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Tokyo Dome,Japón,Asia,55000,31727
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Tokyo Dome,Japón,Asia,55000,47502
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,O2 Arena,Reino Unido,Europa,20000,13902
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Wembley Stadium,Reino Unido,Europa,90000,75057
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Sydney Olympic Park,Australia,Oceanía,83000,46947
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Arena Ciudad de México,México,América del Norte,22000,15525
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Scotiabank Arena,Canadá,América del Norte,20000,15629
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,Accor Arena,Francia,Europa,20000,10096
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,WiZink Center,España,Europa,17000,11388
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Movistar Arena Madrid,España,Europa,17000,13518
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Maracanã Stadium,Brasil,América del Sur,78000,66818
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,River Plate Stadium,Argentina,América del Sur,83000,80793
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Palau Sant Jordi,España,Europa,18000,9165
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,SoFi Stadium,Estados Unidos,América del Norte,70000,46363
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Santiago Bernabéu,España,Europa,81000,58351
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Scotiabank Arena,Canadá,América del Norte,20000,11138
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,42847
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Accor Arena,Francia,Europa,20000,13167
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,Camp Nou,España,Europa,99000,54525
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Estadio Azteca,México,América del Norte,87000,72166
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,MetLife Stadium,Estados Unidos,América del Norte,82500,54314
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Arena Corinthians,Brasil,América del Sur,49000,48170
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,Olympic Stadium,Reino Unido,Europa,60000,52094
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,Foro Sol,México,América del Norte,65000,40646
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Rod Laver Arena,Australia,Oceanía,15000,9963
Rihanna,Barbadense,1988-02-20 00:00:00,Loud Tour,22,110,Scotiabank Arena,Canadá,América del Norte,20000,12020
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Rod Laver Arena,Australia,Oceanía,15000,7894
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Santiago Bernabéu,España,Europa,81000,63385
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Sydney Olympic Park,Australia,Oceanía,83000,47379
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,17333
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,40552
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Staples Center,Estados Unidos,América del Norte,20000,14471
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Santiago Bernabéu,España,Europa,81000,80714
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,33200
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,United Center,Estados Unidos,América del Norte,21000,14436
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,Allianz Arena,Alemania,Europa,75000,42297
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Foro Sol,México,América del Norte,65000,61348
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Allianz Arena,Alemania,Europa,75000,59624
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,MetLife Stadium,Estados Unidos,América del Norte,82500,48464
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Santiago Bernabéu,España,Europa,81000,57851
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Arena Ciudad de México,México,América del Norte,22000,15843
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,AT&T Stadium,Estados Unidos,América del Norte,80000,79898
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Fearless Tour,14,90,Accor Arena,Francia,Europa,20000,17626
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Tokyo Dome,Japón,Asia,55000,54325
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,River Plate Stadium,Argentina,América del Sur,83000,76096
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,66270
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,O2 Arena,Reino Unido,Europa,20000,14566
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Rogers Centre,Canadá,América del Norte,50000,34453
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,43665
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,71089
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Movistar Arena Madrid,España,Europa,17000,13727
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Palau Sant Jordi,España,Europa,18000,14059
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,Madison Square Garden,Estados Unidos,América del Norte,20000,19555
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,Rogers Centre,Canadá,América del Norte,50000,38638
